layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
conv_in,uce_fp,0.0,0.0,0.0,1.0
time_embedding.linear_1,uce_fp,0.0,0.0,0.0,1.0
time_embedding.linear_2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0022482892964035273,0.0413818359375,0.9812988042831421,0.44237467646598816
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.000648115761578083,0.012603759765625,0.9781779050827026,0.7965942621231079
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.001575905829668045,0.027706146240234375,0.980786144733429,0.5333780646324158
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.0004666833265218884,0.009837150573730469,0.982775866985321,0.8771443963050842
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.0.downsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0022571003064513206,0.0380859375,0.9867756962776184,0.431671142578125
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0007990166777744889,0.0228729248046875,0.981414794921875,0.7425781488418579
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.00183130765799433,0.0406951904296875,0.9850504398345947,0.4906066954135895
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.0006248990539461374,0.02693939208984375,0.9778788089752197,0.8118062615394592
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.1.downsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.001705241040326655,0.03765869140625,0.9824615716934204,0.5112854242324829
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0009845379972830415,0.022159576416015625,0.977813720703125,0.6711435914039612
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.0018084789626300335,0.045723915100097656,0.9835001826286316,0.4967142641544342
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.001020030933432281,0.0182037353515625,0.9805653691291809,0.661938488483429
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.2.downsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
down_blocks.3.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.0.upsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0019024722278118134,0.030675888061523438,0.9822865724563599,0.48334452509880066
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0013754102401435375,0.02533721923828125,0.9811198115348816,0.573718249797821
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
