key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
up_blocks.1.resnets.1.conv1.weight,up,resnet_conv1,29491200,25790301,0.8745083618164062,3.9781192754162475e-05,0.005859375,4.5489778131013736e-05,3.9781192754162475e-05,4.5489778131013736e-05,25790301,1.0,25789373,0,928,0.9999640174808352,0.0,3.598251916485969e-05,25790301,1.0,0.9999820590019226,1.0,1173.195068359375,0.11833721399307251
up_blocks.1.resnets.0.conv1.weight,up,resnet_conv1,29491200,25785006,0.8743288167317709,3.672044476843439e-05,0.00390625,4.199843533569947e-05,3.672044476843439e-05,4.199843533569947e-05,25785006,1.0,25783960,0,1046,0.9999594337887685,0.0,4.0566211231442024e-05,25785006,1.0,0.9999797344207764,1.0,1082.929931640625,0.10499812662601471
up_blocks.1.resnets.2.conv1.weight,up,resnet_conv1,22118400,19344468,0.8745871310763889,4.272077057976276e-05,0.0078125,4.884678855887614e-05,4.272077785572037e-05,4.884678855887614e-05,19344468,1.0,19343836,0,632,0.9999673291609777,0.0,3.267083902229826e-05,19344468,1.0,0.9999836683273315,1.0,944.9151000976562,0.10182498395442963
up_blocks.0.resnets.2.conv1.weight,up,resnet_conv1,29491200,25783075,0.8742633395724826,3.13300515699666e-05,0.0029296875,3.583594298106618e-05,3.1330055207945406e-05,3.583594298106618e-05,25783075,1.0,25781892,0,1183,0.999954117187341,0.0,4.588281265907965e-05,25783075,1.0,0.9999770522117615,1.0,923.9608154296875,0.07309228181838989
up_blocks.0.resnets.1.conv1.weight,up,resnet_conv1,29491200,25778411,0.8741051907009548,2.9060143788228743e-05,0.00390625,3.324559293105267e-05,2.9060145607218146e-05,3.324559293105267e-05,25778411,1.0,25777134,0,1277,0.9999504624237701,0.0,4.953757622997011e-05,25778411,1.0,0.9999751448631287,1.0,857.0184936523438,0.0638175830245018
up_blocks.1.resnets.2.conv2.weight,up,resnet_conv2,14745600,12894982,0.8744969346788194,5.2806022722506896e-05,0.0009765625,6.0384456446627155e-05,5.2806022722506896e-05,6.0384456446627155e-05,12894982,1.0,12894655,0,327,0.9999746412984524,0.0,2.535870154762527e-05,12894982,1.0,0.9999873042106628,1.0,778.656494140625,0.09744633734226227
up_blocks.0.resnets.0.conv1.weight,up,resnet_conv1,29491200,25776645,0.8740453084309896,2.5775412723305635e-05,0.001953125,2.9489790904335678e-05,2.577541454229504e-05,2.948978726635687e-05,25776645,1.0,25774974,0,1671,0.999935173875421,0.0,6.482612457905209e-05,25776645,1.0,0.9999675750732422,1.0,760.1478271484375,0.053074657917022705
up_blocks.1.resnets.1.conv2.weight,up,resnet_conv2,14745600,12895379,0.8745238579644097,4.858551619690843e-05,0.00390625,5.555653842748143e-05,4.858551619690843e-05,5.555653842748143e-05,12895379,1.0,12895012,0,367,0.9999715401928087,0.0,2.8459807191397788e-05,12895379,1.0,0.9999857544898987,1.0,716.422607421875,0.08548440039157867
up_blocks.1.resnets.0.conv2.weight,up,resnet_conv2,14745600,12897185,0.8746463351779514,4.840838664676994e-05,0.0029296875,5.5346241424558684e-05,4.8408393922727555e-05,5.5346241424558684e-05,12897185,1.0,12896820,0,365,0.9999716992506504,0.0,2.8300749349567366e-05,12897185,1.0,0.9999858736991882,1.0,713.8107299804688,0.0843789130449295
down_blocks.2.resnets.1.conv1.weight,down,resnet_conv1,14745600,12895136,0.8745073784722223,4.2380288505228236e-05,0.00390625,4.846190131502226e-05,4.2380288505228236e-05,4.846190131502226e-05,12895136,1.0,12894728,0,408,0.9999683601630879,0.0,3.163983691215044e-05,12895136,1.0,0.9999842047691345,1.0,624.9227905273438,0.06507407128810883
down_blocks.2.resnets.0.conv2.weight,down,resnet_conv2,14745600,12894231,0.8744460042317709,4.010323027614504e-05,0.00146484375,4.5861310354666784e-05,4.0103237552102655e-05,4.586130307870917e-05,12894231,1.0,12893819,0,412,0.9999680477261498,0.0,3.195227385022031e-05,12894231,1.0,0.9999840259552002,1.0,591.34619140625,0.05538184940814972
up_blocks.0.resnets.1.conv2.weight,up,resnet_conv2,14745600,12894855,0.8744883219401042,3.922086034435779e-05,0.001953125,4.4850068661617115e-05,3.922086034435779e-05,4.4850068661617115e-05,12894855,1.0,12894347,0,508,0.9999606044426246,0.0,3.939555737540282e-05,12894855,1.0,0.9999803304672241,1.0,578.3351440429688,0.05736222118139267
down_blocks.2.resnets.1.conv2.weight,down,resnet_conv2,14745600,12894913,0.8744922553168403,3.7231431633699685e-05,0.0009765625,4.257490945747122e-05,3.7231431633699685e-05,4.257490945747122e-05,12894913,1.0,12894465,0,448,0.9999652576174807,0.0,3.474238251937024e-05,12894913,1.0,0.9999827146530151,1.0,548.9998168945312,0.04887240752577782
up_blocks.0.resnets.2.conv2.weight,up,resnet_conv2,14745600,12894445,0.8744605170355902,3.66704844054766e-05,0.0009765625,4.193497443338856e-05,3.66704844054766e-05,4.193496715743095e-05,12894445,1.0,12893933,0,512,0.9999602929788758,0.0,3.970702112421279e-05,12894445,1.0,0.9999801516532898,1.0,540.728271484375,0.04763249680399895
