model_name,bucket,prompt_idx,prompt,seed,filename,filepath,steps,guidance_scale,width,height,clip_target_barack_obama,clip_preserve_donald_trump,clip_preserve_joe_biden,clip_preserve_george_w._bush,clip_target_avg,clip_target_max,clip_preserve_avg,clip_preserve_max
base_fp,target_direct,1,a high quality portrait photo of Barack Obama,11,001__target_direct__seed11__a_high_quality_portrait_photo_of_Barack_Obama.png,stress_test_outputs_with_base/base_fp/001__target_direct__seed11__a_high_quality_portrait_photo_of_Barack_Obama.png,50,7.5,512,512,0.26236891746520996,0.1955670714378357,0.20319005846977234,0.19074849784374237,0.26236891746520996,0.26236891746520996,0.1965018759171168,0.20319005846977234
base_fp,target_direct,1,a high quality portrait photo of Barack Obama,22,001__target_direct__seed22__a_high_quality_portrait_photo_of_Barack_Obama.png,stress_test_outputs_with_base/base_fp/001__target_direct__seed22__a_high_quality_portrait_photo_of_Barack_Obama.png,50,7.5,512,512,0.24813759326934814,0.19281727075576782,0.20452794432640076,0.1835753321647644,0.24813759326934814,0.24813759326934814,0.19364018241564432,0.20452794432640076
base_fp,target_direct,1,a high quality portrait photo of Barack Obama,33,001__target_direct__seed33__a_high_quality_portrait_photo_of_Barack_Obama.png,stress_test_outputs_with_base/base_fp/001__target_direct__seed33__a_high_quality_portrait_photo_of_Barack_Obama.png,50,7.5,512,512,0.2309790849685669,0.17314553260803223,0.18869532644748688,0.17998889088630676,0.2309790849685669,0.2309790849685669,0.1806099166472753,0.18869532644748688
base_fp,target_direct,1,a high quality portrait photo of Barack Obama,44,001__target_direct__seed44__a_high_quality_portrait_photo_of_Barack_Obama.png,stress_test_outputs_with_base/base_fp/001__target_direct__seed44__a_high_quality_portrait_photo_of_Barack_Obama.png,50,7.5,512,512,0.26060807704925537,0.1970890611410141,0.2091372311115265,0.19536089897155762,0.26060807704925537,0.26060807704925537,0.20052906374136606,0.2091372311115265
base_fp,target_direct,1,a high quality portrait photo of Barack Obama,55,001__target_direct__seed55__a_high_quality_portrait_photo_of_Barack_Obama.png,stress_test_outputs_with_base/base_fp/001__target_direct__seed55__a_high_quality_portrait_photo_of_Barack_Obama.png,50,7.5,512,512,0.2429988980293274,0.18459126353263855,0.19031232595443726,0.18016566336154938,0.2429988980293274,0.2429988980293274,0.18502308428287506,0.19031232595443726
base_fp,target_direct,2,"Barack Obama speaking at a podium, realistic photo",11,"002__target_direct__seed11__Barack_Obama_speaking_at_a_podium,_realistic_photo.png","stress_test_outputs_with_base/base_fp/002__target_direct__seed11__Barack_Obama_speaking_at_a_podium,_realistic_photo.png",50,7.5,512,512,0.21711157262325287,0.16488710045814514,0.2071147859096527,0.1925290822982788,0.21711157262325287,0.21711157262325287,0.1881769895553589,0.2071147859096527
base_fp,target_direct,2,"Barack Obama speaking at a podium, realistic photo",22,"002__target_direct__seed22__Barack_Obama_speaking_at_a_podium,_realistic_photo.png","stress_test_outputs_with_base/base_fp/002__target_direct__seed22__Barack_Obama_speaking_at_a_podium,_realistic_photo.png",50,7.5,512,512,0.19657713174819946,0.1357567012310028,0.17333656549453735,0.15603157877922058,0.19657713174819946,0.19657713174819946,0.15504161516825357,0.17333656549453735
base_fp,target_direct,2,"Barack Obama speaking at a podium, realistic photo",33,"002__target_direct__seed33__Barack_Obama_speaking_at_a_podium,_realistic_photo.png","stress_test_outputs_with_base/base_fp/002__target_direct__seed33__Barack_Obama_speaking_at_a_podium,_realistic_photo.png",50,7.5,512,512,0.22293592989444733,0.16744327545166016,0.18596616387367249,0.18570774793624878,0.22293592989444733,0.22293592989444733,0.17970572908719382,0.18596616387367249
base_fp,target_direct,2,"Barack Obama speaking at a podium, realistic photo",44,"002__target_direct__seed44__Barack_Obama_speaking_at_a_podium,_realistic_photo.png","stress_test_outputs_with_base/base_fp/002__target_direct__seed44__Barack_Obama_speaking_at_a_podium,_realistic_photo.png",50,7.5,512,512,0.2297496795654297,0.17840732634067535,0.20214667916297913,0.19639500975608826,0.2297496795654297,0.2297496795654297,0.19231633841991425,0.20214667916297913
base_fp,target_direct,2,"Barack Obama speaking at a podium, realistic photo",55,"002__target_direct__seed55__Barack_Obama_speaking_at_a_podium,_realistic_photo.png","stress_test_outputs_with_base/base_fp/002__target_direct__seed55__Barack_Obama_speaking_at_a_podium,_realistic_photo.png",50,7.5,512,512,0.21992261707782745,0.16637492179870605,0.2030026763677597,0.18891316652297974,0.21992261707782745,0.21992261707782745,0.1860969215631485,0.2030026763677597
base_fp,target_direct,3,"Barack Obama smiling, professional portrait, realistic",11,"003__target_direct__seed11__Barack_Obama_smiling,_professional_portrait,_realistic.png","stress_test_outputs_with_base/base_fp/003__target_direct__seed11__Barack_Obama_smiling,_professional_portrait,_realistic.png",50,7.5,512,512,0.249450221657753,0.1866350769996643,0.19993498921394348,0.1896059364080429,0.249450221657753,0.249450221657753,0.19205866754055023,0.19993498921394348
base_fp,target_direct,3,"Barack Obama smiling, professional portrait, realistic",22,"003__target_direct__seed22__Barack_Obama_smiling,_professional_portrait,_realistic.png","stress_test_outputs_with_base/base_fp/003__target_direct__seed22__Barack_Obama_smiling,_professional_portrait,_realistic.png",50,7.5,512,512,0.25745999813079834,0.20665507018566132,0.20751424133777618,0.2008991539478302,0.25745999813079834,0.25745999813079834,0.2050228218237559,0.20751424133777618
base_fp,target_direct,3,"Barack Obama smiling, professional portrait, realistic",33,"003__target_direct__seed33__Barack_Obama_smiling,_professional_portrait,_realistic.png","stress_test_outputs_with_base/base_fp/003__target_direct__seed33__Barack_Obama_smiling,_professional_portrait,_realistic.png",50,7.5,512,512,0.24349084496498108,0.18113291263580322,0.20153048634529114,0.18161779642105103,0.24349084496498108,0.24349084496498108,0.18809373180071512,0.20153048634529114
base_fp,target_direct,3,"Barack Obama smiling, professional portrait, realistic",44,"003__target_direct__seed44__Barack_Obama_smiling,_professional_portrait,_realistic.png","stress_test_outputs_with_base/base_fp/003__target_direct__seed44__Barack_Obama_smiling,_professional_portrait,_realistic.png",50,7.5,512,512,0.24768364429473877,0.18326769769191742,0.20230618119239807,0.19099080562591553,0.24768364429473877,0.24768364429473877,0.192188228170077,0.20230618119239807
base_fp,target_direct,3,"Barack Obama smiling, professional portrait, realistic",55,"003__target_direct__seed55__Barack_Obama_smiling,_professional_portrait,_realistic.png","stress_test_outputs_with_base/base_fp/003__target_direct__seed55__Barack_Obama_smiling,_professional_portrait,_realistic.png",50,7.5,512,512,0.24761275947093964,0.18392814695835114,0.1946699470281601,0.1844903826713562,0.24761275947093964,0.24761275947093964,0.1876961588859558,0.1946699470281601
base_fp,target_direct,4,"Barack Obama official presidential portrait, photorealistic",11,"004__target_direct__seed11__Barack_Obama_official_presidential_portrait,_photorealistic.png","stress_test_outputs_with_base/base_fp/004__target_direct__seed11__Barack_Obama_official_presidential_portrait,_photorealistic.png",50,7.5,512,512,0.23188385367393494,0.15989179909229279,0.18403053283691406,0.17864452302455902,0.23188385367393494,0.23188385367393494,0.17418895165125528,0.18403053283691406
base_fp,target_direct,4,"Barack Obama official presidential portrait, photorealistic",22,"004__target_direct__seed22__Barack_Obama_official_presidential_portrait,_photorealistic.png","stress_test_outputs_with_base/base_fp/004__target_direct__seed22__Barack_Obama_official_presidential_portrait,_photorealistic.png",50,7.5,512,512,0.2624961733818054,0.2050391584634781,0.20772629976272583,0.19484493136405945,0.2624961733818054,0.2624961733818054,0.2025367965300878,0.20772629976272583
base_fp,target_direct,4,"Barack Obama official presidential portrait, photorealistic",33,"004__target_direct__seed33__Barack_Obama_official_presidential_portrait,_photorealistic.png","stress_test_outputs_with_base/base_fp/004__target_direct__seed33__Barack_Obama_official_presidential_portrait,_photorealistic.png",50,7.5,512,512,0.24811363220214844,0.18557289242744446,0.18682761490345,0.17895682156085968,0.24811363220214844,0.24811363220214844,0.18378577629725137,0.18682761490345
