key,family,block,numel,fp_changed_count,fp_changed_ratio,pct_l2_change,pct_scalar_changed,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,qparam_source,bucket_mean,bucket_median,update_over_bucket_mean_changed_only,update_over_bucket_median_changed_only,frac_update_over_bucket_lt_05_changed_only,frac_update_over_bucket_05_1_changed_only,frac_update_over_bucket_ge_1_changed_only,same_bucket_count,cross_bucket_count,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,collapse_to_base_q_count,collapse_to_base_q_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,241044,0.980810546875,5.885289790843477,98.0810546875,0.0021365636494010687,0.0394134521484375,0.002178365597501397,saved_w_scale,0.0015019134152680635,0.001554805669002235,1.45932936668396,0.8449459671974182,35.81503927707672,19.195665419101715,44.98929679393768,80539,160505,0.3341257197855993,0.6658742802144006,0.0021366416476666927,0.0021781940013170242,241044,1.0,241044,0,0,1.0,0.0,0.0,1,4.148620168931813e-06,241044,1.0,0.9986434578895569,0.9999864101409912
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,240397,0.9781778971354167,4.870644817184503,97.81778971354167,0.000615910452324897,0.011993408203125,0.0006296508363448083,saved_w_scale,0.0005280455225147307,0.0005200579180382192,1.1977858543395996,0.6844077706336975,41.235122084617615,20.296841859817505,38.46803307533264,91601,148796,0.38104052879195666,0.6189594712080434,0.0006159507902339101,0.0006296007777564228,240397,1.0,240395,0,2,0.9999916804286243,0.0,8.319571375682725e-06,5,2.0798928439206812e-05,240397,1.0,0.998771607875824,0.9999819993972778
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,240820,0.9798990885416666,5.134225890436011,97.98990885416666,0.001497616176493466,0.026393890380859375,0.0015283372486010194,saved_w_scale,0.0013594295596703887,0.001301847049035132,1.184352159500122,0.6760255098342896,41.579604148864746,20.194751024246216,38.22564482688904,92055,148765,0.38225645710489164,0.6177435428951084,0.001497646328061819,0.0015281739179044962,240820,1.0,240818,0,2,0.9999916950419401,0.0,8.304958059961797e-06,1,4.1524790299808986e-06,240820,1.0,0.998609721660614,0.9999741315841675
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,241599,0.98306884765625,4.74751371395795,98.306884765625,0.000443506141891703,0.009371757507324219,0.0004511445004027337,saved_w_scale,0.00039308666600845754,0.000314587407046929,1.2785090208053589,0.7541149258613586,37.99891471862793,20.88419198989868,41.11689329147339,85467,156132,0.35375560329306,0.64624439670694,0.00044351996621116996,0.0004511116130743176,241599,1.0,241597,0,2,0.9999917218200406,0.0,8.278179959354136e-06,4,1.6556359918708273e-05,241599,1.0,0.9991981983184814,0.9999849200248718
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,484886,0.9865030924479167,6.089061691670822,98.65030924479167,0.0021449625492095947,0.0362548828125,0.0021743089891970158,saved_w_scale,0.0014064809074625373,0.0014013814507052302,1.5563958883285522,0.8918206691741943,34.297341108322144,19.059737026691437,46.64292335510254,154787,330099,0.3192234875826483,0.6807765124173517,0.0021450119093060493,0.0021741907112300396,484886,1.0,484885,0,1,0.9999979376595736,0.0,2.0623404264095066e-06,1,2.0623404264095066e-06,484886,1.0,0.9992805123329163,0.9999901056289673
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,482350,0.9813435872395834,5.626644078369023,98.13435872395834,0.0007592989131808281,0.0218048095703125,0.0007737340638414025,saved_w_scale,0.0005661516333930194,0.0005461533437483013,1.3612029552459717,0.7691959142684937,38.170209527015686,19.670571386814117,42.159220576286316,170420,311930,0.35331191043847826,0.6466880895615217,0.0007593437912873924,0.0007736936677247286,482350,1.0,482350,0,0,1.0,0.0,0.0,3,6.219550119208044e-06,482350,1.0,0.999096155166626,0.999989926815033
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,484058,0.9848185221354167,5.953486309134529,98.48185221354167,0.0017402912490069866,0.0387725830078125,0.0017671186942607164,saved_w_scale,0.001216958393342793,0.0011850424343720078,1.4593602418899536,0.8437128067016602,35.72443723678589,19.37350481748581,44.90205645561218,161304,322754,0.33323279441719794,0.6667672055828021,0.0017403507372364402,0.0017670231172814965,484058,1.0,484056,0,2,0.9999958682637204,0.0,4.13173627953675e-06,3,6.197604419305125e-06,484058,1.0,0.9992532730102539,0.9999889135360718
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,480586,0.9777547200520833,5.75165129302458,97.77547200520833,0.0005938332760706544,0.02568817138671875,0.0006073437980376184,saved_w_scale,0.0004734846588689834,0.0004113972536288202,1.2779479026794434,0.7421274185180664,39.0123724937439,20.083606243133545,40.90402126312256,174300,306286,0.3626822254497634,0.6373177745502366,0.0005938697722740471,0.0006072984542697668,480586,1.0,480583,0,3,0.9999937576209045,0.0,6.242379095520885e-06,7,1.4565551222882066e-05,480586,1.0,0.9985162615776062,0.9999818801879883
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.2,983040,965370,0.982025146484375,5.864240180542415,98.2025146484375,0.0016204993007704616,0.0358734130859375,0.0016501606442034245,saved_w_scale,0.0011022475082427263,0.0011117104440927505,1.4939215183258057,0.864235520362854,35.16547977924347,19.21149343252182,45.62302529811859,316434,648936,0.32778520152894747,0.6722147984710526,0.0016205665888264775,0.0016500606434419751,965370,1.0,965366,0,4,0.9999958565109751,0.0,4.143489024933445e-06,3,3.1076167687000837e-06,965370,1.0,0.998993992805481,0.9999874234199524
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.2,983040,960746,0.9773213704427083,5.084237606904375,97.73213704427083,0.000935608521103859,0.021106719970703125,0.0009573192219249904,saved_w_scale,0.0007493150187656283,0.0007408932433463633,1.2879964113235474,0.7449994087219238,39.035603404045105,19.801384210586548,41.16301238536835,348102,612644,0.36232469351941093,0.637675306480589,0.0009356678929179907,0.0009572406997904181,960746,1.0,960744,0,2,0.9999979182843333,0.0,2.081715666783937e-06,8,8.326862667135747e-06,960746,1.0,0.9986262917518616,0.9999832510948181
